run_id,episode,episode_reward,avg_reward_20ep,avg_loss,epsilon,action_off,action_cool,action_heat,lr,gamma,epsilon_decay,batch_size,buffer_capacity
a39e8264f59c44bdb9cee0d82cafd053,111,-813.7261,-412.5748,148.4588,0.5733,5,12,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,112,-692.9595,-407.2263,119.3276,0.5704,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,113,-215.1949,-397.0706,166.6319,0.5676,8,14,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,114,-961.836,-423.4656,148.8459,0.5647,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,115,-472.6621,-426.613,114.6372,0.5619,3,16,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,116,-458.7074,-442.1087,155.5606,0.5591,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,117,-288.045,-451.6447,121.4651,0.5563,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,118,-238.9826,-450.2225,142.1495,0.5535,6,13,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,119,-780.995,-483.2903,118.533,0.5507,4,11,9,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,120,-500.921,-491.9379,111.8519,0.548,9,11,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,121,-795.6511,-513.8656,117.3497,0.5452,7,12,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,122,-153.548,-442.4385,98.3749,0.5425,6,14,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,123,-307.0349,-451.532,103.8952,0.5398,5,15,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,124,-149.5099,-452.6642,113.37,0.5371,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,125,-48.9782,-445.1359,114.0303,0.5344,3,18,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,126,-432.648,-449.6804,113.4018,0.5318,2,17,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,127,-162.8144,-436.3937,110.083,0.5291,2,17,5,0.001,0.99,0.995,64,10000
